EDGEID,"TYPE",HASH,SRCVERTEXHASH,DSTVERTEXHASH,"OPERATION","TIME"
332,"Used",-1045273221,1267515793,-1076140352,"read","978314597.315"
333,"WasInformedBy",332403672,1265959057,1267515793,"fork","978314597.315"
334,"Used",-1045273221,1267515793,-1076140352,"read","978314597.315"
335,"Used",-1045273221,1267515793,-1076140352,"read","978314597.315"
336,"WasInformedBy",332403672,1265959057,1267515793,"fork","978314597.315"
337,"Used",-1045273221,1267515793,-1076140352,"read","978314597.315"
338,"WasInformedBy",332394263,1265959057,1267515793,"fork","978314597.316"
339,"Used",-1045282630,1267515793,-1076140352,"read","978314597.316"
340,"WasInformedBy",332394263,1265959057,1267515793,"fork","978314597.316"
341,"Used",-1045282630,1267515793,-1076140352,"read","978314597.316"
342,"WasInformedBy",332704760,1265959057,1267515793,"fork","978314597.326"
343,"Used",-1044972133,1267515793,-1076140352,"read","978314597.326"
344,"WasInformedBy",332704760,1265959057,1267515793,"fork","978314597.326"
345,"WasInformedBy",332169126,1265959064,1267515793,"fork","978314597.352"
346,"Used",-1609972934,1267515793,-1640604840,"read","978314597.352"
347,"WasInformedBy",332169126,1265959064,1267515793,"fork","978314597.352"
348,"Used",-1609972934,1267515793,-1640604840,"read","978314597.352"
349,"WasInformedBy",332169126,1265959064,1267515793,"fork","978314597.352"
350,"Used",-1609944707,1267515793,-1640604840,"read","978314597.353"
351,"WasInformedBy",325883914,1265959064,1267515793,"fork","978314597.381"
352,"Used",-1616239328,1267515793,-1640604840,"read","978314597.383"
353,"Used",-1616286373,1267515793,-1640604840,"read","978314597.384"
354,"WasInformedBy",338746017,1265959064,1267515793,"fork","978314597.405"
355,"Used",-1603396043,1267515793,-1640604840,"read","978314597.405"
356,"WasInformedBy",338774244,1265959064,1267515793,"fork","978314597.413"
357,"WasInformedBy",342660064,1265959063,1267515793,"fork","978314597.416"
358,"WasInformedBy",342650558,1265959062,1267515793,"fork","978314597.417"
359,"WasInformedBy",342650461,1265959061,1267515793,"fork","978314597.417"
360,"WasInformedBy",342602543,1265959052,1267515793,"fork","978314597.418"
361,"WasInformedBy",342602446,1265959051,1267515793,"fork","978314597.418"
362,"WasInformedBy",342870845,1265960557,1267515793,"fork","978314597.420"
363,"WasInformedBy",343098892,1265960580,1267515793,"fork","978314597.428"
364,"Used",-1875184022,1267515793,-1916673914,"read","978314597.431"
365,"WasInformedBy",342205037,1265960580,1267515793,"fork","978314597.438"
366,"WasInformedBy",342204940,1265960579,1267515793,"fork","978314597.438"
367,"WasInformedBy",342233070,1265960578,1267515793,"fork","978314597.446"
368,"WasInformedBy",342007157,1265960577,1267515793,"fork","978314597.471"
369,"WasInformedBy",341923155,1265960584,1267515793,"fork","978314597.476"
370,"WasInformedBy",341010385,1265960583,1267515793,"fork","978314597.488"
371,"Used",-1145543246,1267515793,-1184869068,"read","978314597.488"
372,"WasInformedBy",-719409720,1267516591,1270364885,NULL,NULL
373,"WasInformedBy",341548854,1265962149,1267516591,"fork","978314597.490"
374,"Used",-1145089480,1267516591,-1184869068,"read","978314597.491"
375,"WasInformedBy",341520627,1265962149,1267516591,"fork","978314597.497"
376,"Used",-1358918414,1267516591,-1184869068,"read","978314597.633"
377,"WasInformedBy",138464901,1265962148,1267516591,"fork","978314597.704"
378,"Used",-1601921206,1267516591,-1438626347,"read","978314597.704"
379,"Used",-1348163927,1267516591,-1184869068,"read","978314597.704"
380,"WasInformedBy",138455589,1265962149,1267516591,"fork","978314597.705"
381,"Used",-1348173336,1267516591,-1184869068,"read","978314597.705"
382,"WasInformedBy",138455589,1265962149,1267516591,"fork","978314597.705"
383,"Used",-1348173336,1267516591,-1184869068,"read","978314597.705"
384,"WasInformedBy",138455589,1265962149,1267516591,"fork","978314597.705"
385,"Used",-1348173336,1267516591,-1184869068,"read","978314597.705"
386,"WasInformedBy",1799541495,1267519317,-505915618,NULL,NULL
387,"Used",-648089578,1267516591,-484785310,"read","978314597.705"
388,"Used",-1348145109,1267516591,-1184869068,"read","978314597.706"
389,"WasInformedBy",1799541301,1267519315,-505915618,NULL,NULL
